local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-05-25T08:48:25,2026-05-22 15:00:03,600936,北投科技,5.78,-0.1727,5.74,5.93,5.52,5.79,1329742973.0,5.78,5.26
2026-05-25T08:48:25,2026-05-22 15:00:01,600578,京能电力,8.22,0.489,7.92,8.9,7.64,8.18,4408786280.0,8.22,7.44
2026-05-25T08:48:25,2026-05-22 15:00:00,003007,直真科技,52.64,-3.1285,53.0,54.34,51.7,54.34,639862447.81,52.64,49.91
2026-05-25T08:48:25,2026-05-22 15:00:03,603373,安邦护卫,50.15,3.0832,50.0,52.3,49.0,48.65,335938177.0,50.15,44.23
2026-05-25T08:48:42,2026-05-22 15:00:03,600936,北投科技,5.78,-0.1727,5.74,5.93,5.52,5.79,1329742973.0,5.78,5.26
2026-05-25T08:48:42,2026-05-22 15:00:01,600578,京能电力,8.22,0.489,7.92,8.9,7.64,8.18,4408786280.0,8.22,7.44
2026-05-25T08:48:42,2026-05-22 15:00:00,003007,直真科技,52.64,-3.1285,53.0,54.34,51.7,54.34,639862447.81,52.64,49.91
2026-05-25T08:48:42,2026-05-22 15:00:03,603373,安邦护卫,50.15,3.0832,50.0,52.3,49.0,48.65,335938177.0,50.15,44.23
2026-05-25T08:49:12,2026-05-22 15:00:03,600936,北投科技,5.78,-0.1727,5.74,5.93,5.52,5.79,1329742973.0,5.78,5.26
2026-05-25T08:49:12,2026-05-22 15:00:01,600578,京能电力,8.22,0.489,7.92,8.9,7.64,8.18,4408786280.0,8.22,7.44
2026-05-25T08:49:12,2026-05-22 15:00:00,003007,直真科技,52.64,-3.1285,53.0,54.34,51.7,54.34,639862447.81,52.64,49.91
2026-05-25T08:49:12,2026-05-22 15:00:03,603373,安邦护卫,50.15,3.0832,50.0,52.3,49.0,48.65,335938177.0,50.15,44.23
2026-05-25T09:27:01,2026-05-25 09:26:53,600936,北投科技,5.78,0.0,5.78,5.78,5.78,5.78,19750838.0,5.78,5.26
2026-05-25T09:27:01,2026-05-25 09:26:54,600578,京能电力,8.38,1.9465,8.38,8.38,8.38,8.22,89786337.0,8.22,7.44
2026-05-25T09:27:01,2026-05-25 09:25:00,003007,直真科技,51.51,-2.1467,51.51,51.51,51.51,52.64,9014250.0,52.64,49.91
2026-05-25T09:27:01,2026-05-25 09:26:33,603373,安邦护卫,49.65,-0.997,49.65,49.65,49.65,50.15,9423570.0,50.15,44.23
2026-05-25T09:30:02,2026-05-25 09:29:53,600936,北投科技,5.78,0.0,5.78,5.78,5.78,5.78,19750838.0,5.78,5.26
2026-05-25T09:30:02,2026-05-25 09:29:54,600578,京能电力,8.38,1.9465,8.38,8.38,8.38,8.22,89786337.0,8.22,7.44
2026-05-25T09:30:02,2026-05-25 09:30:00,003007,直真科技,51.7,-1.7857,51.51,52.0,51.48,52.64,12538773.0,52.64,49.91
2026-05-25T09:30:02,2026-05-25 09:29:33,603373,安邦护卫,49.65,-0.997,49.65,49.65,49.65,50.15,9423570.0,50.15,44.23
2026-05-25T09:33:03,2026-05-25 09:33:01,600936,北投科技,5.91,2.2491,5.78,6.02,5.77,5.78,118093362.0,5.78,5.26
2026-05-25T09:33:03,2026-05-25 09:32:59,600578,京能电力,8.75,6.4477,8.38,8.85,8.38,8.22,595114730.0,8.22,7.44
2026-05-25T09:33:03,2026-05-25 09:33:00,003007,直真科技,51.68,-1.8237,51.51,52.0,51.08,52.64,41891908.0,52.64,49.91
2026-05-25T09:33:03,2026-05-25 09:32:59,603373,安邦护卫,50.62,0.9372,49.65,51.45,49.65,50.15,38360883.0,50.15,44.23
2026-05-25T09:36:04,2026-05-25 09:36:01,600936,北投科技,5.8,0.346,5.78,6.02,5.69,5.78,171002694.0,5.78,5.26
2026-05-25T09:36:04,2026-05-25 09:36:02,600578,京能电力,8.93,8.6375,8.38,9.01,8.38,8.22,999876754.0,8.22,7.44
2026-05-25T09:36:04,2026-05-25 09:36:03,003007,直真科技,51.75,-1.6907,51.51,52.32,51.08,52.64,51969788.0,52.64,49.91
2026-05-25T09:36:04,2026-05-25 09:36:02,603373,安邦护卫,50.51,0.7178,49.65,51.45,49.65,50.15,49533487.0,50.15,44.23
2026-05-25T09:39:05,2026-05-25 09:39:01,600936,北投科技,5.82,0.692,5.78,6.02,5.69,5.78,194737147.0,5.78,5.26
2026-05-25T09:39:05,2026-05-25 09:39:02,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,1446607219.0,8.22,7.44
2026-05-25T09:39:05,2026-05-25 09:39:03,003007,直真科技,50.88,-3.3435,51.51,52.32,50.77,52.64,68590175.0,52.64,49.91
2026-05-25T09:39:05,2026-05-25 09:39:02,603373,安邦护卫,51.65,2.991,49.65,51.68,49.65,50.15,65047940.0,50.15,44.23
2026-05-25T09:42:05,2026-05-25 09:42:04,600936,北投科技,5.78,0.0,5.78,6.02,5.69,5.78,222454637.0,5.78,5.26
2026-05-25T09:42:05,2026-05-25 09:42:02,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,1728361590.0,8.22,7.44
2026-05-25T09:42:05,2026-05-25 09:42:03,003007,直真科技,50.96,-3.1915,51.51,52.32,50.6,52.64,86243232.0,52.64,49.91
2026-05-25T09:42:05,2026-05-25 09:42:02,603373,安邦护卫,50.93,1.5553,49.65,51.69,49.65,50.15,76600911.0,50.15,44.23
2026-05-25T09:45:06,2026-05-25 09:45:04,600936,北投科技,5.76,-0.346,5.78,6.02,5.69,5.78,238424639.0,5.78,5.26
2026-05-25T09:45:06,2026-05-25 09:45:02,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,1975366863.0,8.22,7.44
2026-05-25T09:45:06,2026-05-25 09:45:03,003007,直真科技,51.2,-2.7356,51.51,52.32,50.6,52.64,95161158.0,52.64,49.91
2026-05-25T09:45:06,2026-05-25 09:45:02,603373,安邦护卫,50.63,0.9571,49.65,51.69,49.65,50.15,84309943.0,50.15,44.23
2026-05-25T09:48:07,2026-05-25 09:48:04,600936,北投科技,5.82,0.692,5.78,6.02,5.69,5.78,259222669.0,5.78,5.26
2026-05-25T09:48:07,2026-05-25 09:48:05,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,1988281769.0,8.22,7.44
2026-05-25T09:48:07,2026-05-25 09:48:03,003007,直真科技,50.54,-3.9894,51.51,52.32,50.51,52.64,107680532.0,52.64,49.91
2026-05-25T09:48:07,2026-05-25 09:48:05,603373,安邦护卫,50.35,0.3988,49.65,51.69,49.65,50.15,89119077.0,50.15,44.23
2026-05-25T09:51:08,2026-05-25 09:51:07,600936,北投科技,5.81,0.519,5.78,6.02,5.69,5.78,289730419.0,5.78,5.26
2026-05-25T09:51:08,2026-05-25 09:51:05,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,1999225593.0,8.22,7.44
2026-05-25T09:51:08,2026-05-25 09:51:06,003007,直真科技,50.54,-3.9894,51.51,52.32,50.51,52.64,116405333.0,52.64,49.91
2026-05-25T09:51:08,2026-05-25 09:51:05,603373,安邦护卫,50.79,1.2762,49.65,51.69,49.65,50.15,93787078.0,50.15,44.23
2026-05-25T09:54:09,2026-05-25 09:54:07,600936,北投科技,5.79,0.173,5.78,6.02,5.69,5.78,307793495.0,5.78,5.26
2026-05-25T09:54:09,2026-05-25 09:54:05,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,2007463745.0,8.22,7.44
2026-05-25T09:54:09,2026-05-25 09:54:06,003007,直真科技,50.76,-3.5714,51.51,52.32,50.51,52.64,123725403.0,52.64,49.91
2026-05-25T09:54:09,2026-05-25 09:54:05,603373,安邦护卫,50.73,1.1565,49.65,51.69,49.65,50.15,96240495.0,50.15,44.23
2026-05-25T09:57:09,2026-05-25 09:57:07,600936,北投科技,5.81,0.519,5.78,6.02,5.69,5.78,322634900.0,5.78,5.26
2026-05-25T09:57:09,2026-05-25 09:57:08,600578,京能电力,9.04,9.9757,8.38,9.04,8.38,8.22,2016986481.0,8.22,7.44
2026-05-25T09:57:09,2026-05-25 09:57:06,003007,直真科技,50.97,-3.1725,51.51,52.32,50.51,52.64,130231196.0,52.64,49.91
