local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-05-26T09:25:56,2026-05-26 09:25:29,600530,交大昂立,7.37,0.8208,7.37,7.37,7.37,7.31,1989900.0,7.31,6.85
2026-05-26T09:25:56,2026-05-26 09:25:00,300243,瑞丰高材,20.72,-0.2887,20.72,20.72,20.72,20.78,9467879.68,20.78,17.68
2026-05-26T09:25:56,2026-05-26 09:25:34,600601,方正科技,12.95,-0.4612,12.95,12.95,12.95,13.01,21440020.0,13.01,11.9
2026-05-26T09:25:56,2026-05-26 09:25:53,603459,红板科技,104.0,-3.9705,104.0,104.0,104.0,108.3,33831200.0,108.3,97.5
2026-05-26T09:30:58,2026-05-26 09:30:55,600530,交大昂立,7.15,-2.1888,7.37,7.38,7.14,7.31,4765792.0,7.31,6.85
2026-05-26T09:30:58,2026-05-26 09:30:54,300243,瑞丰高材,20.38,-1.9249,20.72,20.9,20.38,20.78,32092692.4,20.78,17.68
2026-05-26T09:30:58,2026-05-26 09:30:54,600601,方正科技,13.08,0.538,12.95,13.1,12.91,13.01,85377257.0,13.01,11.9
2026-05-26T09:30:58,2026-05-26 09:30:55,603459,红板科技,102.15,-5.6787,104.0,104.0,102.0,108.3,124759075.0,108.3,97.5
2026-05-26T09:35:59,2026-05-26 09:35:55,600530,交大昂立,7.1,-2.8728,7.37,7.38,7.02,7.31,24285039.0,7.31,6.85
2026-05-26T09:35:59,2026-05-26 09:35:57,300243,瑞丰高材,19.92,-4.1386,20.72,20.9,19.88,20.78,127058949.73,20.78,17.68
2026-05-26T09:35:59,2026-05-26 09:35:54,600601,方正科技,13.02,0.0769,12.95,13.14,12.9,13.01,339617749.0,13.01,11.9
2026-05-26T09:35:59,2026-05-26 09:35:55,603459,红板科技,101.85,-5.9557,104.0,104.0,100.0,108.3,472978626.0,108.3,97.5
2026-05-26T09:40:00,2026-05-26 09:39:58,600530,交大昂立,7.09,-3.0096,7.37,7.38,7.02,7.31,32121232.0,7.31,6.85
2026-05-26T09:40:00,2026-05-26 09:39:57,300243,瑞丰高材,19.86,-4.4273,20.72,20.9,19.81,20.78,169112044.79,20.78,17.68
2026-05-26T09:40:00,2026-05-26 09:39:57,600601,方正科技,13.08,0.538,12.95,13.24,12.9,13.01,575896065.0,13.01,11.9
2026-05-26T09:40:00,2026-05-26 09:39:58,603459,红板科技,103.03,-4.8661,104.0,104.0,100.0,108.3,594643709.0,108.3,97.5
2026-05-26T09:45:01,2026-05-26 09:44:58,600530,交大昂立,7.06,-3.42,7.37,7.38,7.02,7.31,39401300.0,7.31,6.85
2026-05-26T09:45:01,2026-05-26 09:44:57,300243,瑞丰高材,19.74,-5.0048,20.72,20.9,19.71,20.78,197760627.63,20.78,17.68
2026-05-26T09:45:01,2026-05-26 09:45:00,600601,方正科技,12.91,-0.7686,12.95,13.24,12.9,13.01,758891889.0,13.01,11.9
2026-05-26T09:45:01,2026-05-26 09:45:01,603459,红板科技,101.2,-6.5559,104.0,104.0,100.0,108.3,707032035.0,108.3,97.5
2026-05-26T09:50:03,2026-05-26 09:50:01,600530,交大昂立,7.04,-3.6936,7.37,7.38,7.0,7.31,52212934.0,7.31,6.85
2026-05-26T09:50:03,2026-05-26 09:50:00,300243,瑞丰高材,20.0,-3.7536,20.72,20.9,19.7,20.78,227550516.34,20.78,17.68
2026-05-26T09:50:03,2026-05-26 09:50:00,600601,方正科技,12.8,-1.6141,12.95,13.24,12.72,13.01,947450219.0,13.01,11.9
2026-05-26T09:50:03,2026-05-26 09:50:01,603459,红板科技,100.35,-7.3407,104.0,104.0,100.0,108.3,856783540.0,108.3,97.5
